1,survei anies baswedan gubernur paling tidak disukai medsos ini reaksi mantan mendikbud jokowi via 

2,survei anies baswedan gubernur paling tidak disukai medsos ini reaksi mantan mendikbud jokowi via 

3,sebanyak persen menganggap anies baswedan sebagai kepala daerah yang paling responsif 

4,soal penggunaan kantong plastik baswedan telah teken pergub 142… 

5,soal penggunaan kantong plastik baswedan telah teken pergub 142… 

6,perpanjang masa transisi hingga juli 

7,anies masih bungkam soal kepgub izin reklamasi ancol 

8,anies psbb transisi berakhir juli 

